number,kind,line1,line2,line3
1020,other,"A %s slithers in from %s.","The %s slithers out to %s.","The lamia slithers after you!"
1021,other,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The lamia wails loudly, and falls dead!"
1022,other,"A %s limps in from %s.","The %s limps out to %s.",""
1023,other,"The %s claws you for %d damage!","The %s claws %s for %s damage!","The twisted one seems almost to smile, and falls dead."
1024,other,"A small gibbering horror crawls out of the gibbering horror's corpse!","The small gibbering horror pulls itself out to %s.","The small gibbering horror follows you!"
1025,other,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The gibbering horror's lumpy body splits open grotesquely."
1026,other,"","The %s gibbers madly at you!","The %s %s madly at %s!"
1027,other,"A gibbering horror crawls out of the large gibbering horror's corpse!","The gibbering horror pulls itself out to %s.","The gibbering horror crawls after you!"
1028,other,"A large gibbering horror pulls itself in from %s.","The large gibbering horror pulls itself out to %s.","The large gibbering horror pulls itself after you!"
1029,other,"The %s touches you with a ghostly hand for %d damage!","The %s touches %s with a ghostly hand for %s damage!","The ghost sighs in relief, and vanishes."
1030,spell,"You lift up your emerald-tipped crozier and invoke its divine power!","","%s lifts up the emerald-tipped crozier and invokes its divine power!"
1031,other,"A shimmering golden mist descends over you!","","A shimmering golden mist descends over %s!"
1032,other,"A shimmering golden mist descends over your allies!","","A shimmering golden mist descends over you!"
1033,other,"Blue lightning streaks among your %sfoes for %d damage!","Blue lightning streaks out and sears you for %d damage!","Blue lightning streaks out and sears %s for %s damage!"
1034,spell,"You point your silverwood staff at %s and invoke its power!","%s points the silverwood staff at you!","%s points the silverwood staff at %s!"
1035,other,"A brilliant beam of starlight spears %s for %d damage!","A brilliant beam of starlight spears you for %d damage!","A brilliant beam of starlight spears %s for %s damage!"
1036,other,"A swirling red mist forms nearby!","","The crimson mist flies after you!"
1037,other,"The %s attempts to envelop you!","The %s attempts to envelop %s!","The crimson mist suddenly solidifies and vanishes in a shower of blood!"
1038,other,"","The %s %s and chokes the life from you for %d damage!","The %s %s %s and glows brightly!"
1039,other,"","The %s surrounds everyone and %s their life for %d damage!",""
1040,spell,"You suddenly feel your strength return!","","You feel powerless!"
1041,other,"","You feel a deathly chill run through you!","%s shudders violently!"
1042,other,"A %s materializes out of the shadows next to you!","The %s vanishes.",""
1043,other,"The %s rips you for %d damage!","The %s rips %s for %s damage!","The shadowraith splinters, and dissolves into the shadows."
1044,other,"%s strides in from %s.","%s strides out to %s.","%s charges after you with a battle-cry!"
1045,other,"%s whomps you for %d damage!","%s whomps %s for %s damage!","Goru-Nezar holds up his staff, shrieks, and explodes with a blast!"
1046,spell,"You raise your palm towards %s!","%s raises their palm towards you!","%s raises their palm towards %s!"
1047,other,"","A necromantic beam springs forth and hits you for %d damage!","A necromantic beam springs forth and hits %s for %s damage!"
1048,spell,"You struggle, but you are solid stone and do not move.","The statue of %s shudders for a moment.",""
1049,spell,"Your body returns to its normal state!","They are a stone statue!","You are transformed into stone!"
1050,spell,"","The %s gazes right into your eyes!","The %s gazes at %s!"
1051,other,"","Your body begins to get heavy and solidify!","%s is quickly turned into a stone statue!"
1052,spell,"You begin chanting softly, and lay your hand on %s's head.","%s begins chanting softly, and lays a hand on your head.","%s begins chanting softly, and lays a hand on %s's head."
1053,other,"With a cracking sound, %s is restored to flesh!","With a cracking sound, you are restored to flesh!","With a cracking sound, %s is restored to flesh!"
1054,other,"A huge basilisk slithers in from %s.","The huge basilisk slithers out to %s.","The huge basilisk slithers after you!"
1055,other,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The basilisk hisses in pain, and turns to stone."
1056,other,"A %s flaps down from above!","The %s leaves to %s.","The chimera charges after you!"
1057,other,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The chimera howls and hisses in pain, and slumps down bleeding."
1058,other,"","The %s breathes a %s on you for %d damage!","The %s breathes a %s on %s for %s damage!"
1059,other,"The %s claws you for %d damage!","The %s claws %s for %s damage!",""
1060,other,"The %s butts you for %d damage!","The %s butts %s for %s damage!",""
1061,spell,"","The beholder gazes at you with an eyestalk!","The beholder gazes at %s with an eyestalk!"
1062,other,"A %s floats in from %s.","The %s floats out to %s.","The beholder floats after you!"
1063,other,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The beholder suddenly swells up and explodes in a release of magic!"
1065,spell,"","The beholder gazes at you with an eyestalk!","The %s gazes at %s with an eyestalk!"
1066,other,"","A dark beam shoots forth and drains you for %d damage!","A dark beam shoots forth and drains %s for %s damage!"
1067,other,"The %s claws you for %d damage!","The %s claws %s for %s damage!","The prismatic dragon shrieks in fury, and dies in a flare of light!"
1068,other,"","The %s breathes a %s at you for %d damage!","The %s breathes a %s at %s for %s damage!"
1069,other,"%s takes %d damage from the cold!","You take %d damage from the cold!","%s takes %s damage from the cold!"
1070,commands,"pull bone","move bone","jerk bone"
1071,other,"The %s rips you for %d damage!","The %s rips %s for %s damage!","The frost hydra topples to the ground, its last head severed."
1072,other,"The hydra strains against its icy bond, breaks it, and comes to life!","",""
1073,other,"As you move the bone, a dark pit opens beneath you!","As %s moves the bone, a dark pit opens beneath you!",""
1074,other,"You climb up through the hole.","%s climbs out through the hole.","The arrives through a hidden hole in the floor!"
1075,other,"You plummet into darkness!","%s falls into darkness!","%s falls from the hole in the ceiling, landing with a thud!"
1076,other,"The wraithlord materializes soundlessly beside you!","The wraithlord strides out to %s!",""
1077,other,"The %s rips you for %d damage!","The %s rips %s for %s damage!","The wraithlord utters a wailing screech, and vanishes!"
1078,other,"A large metal door in the contraption's surface swings open!","A large metal door in the contraption's surface swings open!","A large metal door in the contraption's surface swings open!"
1079,commands,"push button","press button","use button"
1080,other,"You press one of the buttons on the contraption's surface.","%s presses one of the buttons on the contraption.",""
1081,commands,"pull switch","push switch","move switch"
1082,other,"You throw one of the steel switches on the contraption.","%s throws one of the switches on the contraption.",""
1083,commands,"push lever","pull lever","move lever"
1084,other,"You move one of the iron levers on the contraption's surface.","%s moves one of the levers on the contraption.",""
1085,commands,"turn knob","spin knob","move knob"
1086,other,"You turn one of the brass knobs on the contraption's surface.","%s turns one of the brass knobs on the contraption.",""
1087,other,"As you pass through the fence spikes spear through you!","As %s passes through the fence spikes stab out suddenly!","%s walks in from through the fence, bleeding profusely."
1088,other,"Spikes jut out and stab you as you trigger the trap!","Spikes jut out and stab %s and the trap is triggered!",""
1089,other,"You trip a hidden wire, and a huge spear shoots out and stabs you!","%s trips a hidden wire, and a huge spear fires out!","%s walks in, bleeding profusely."
1090,other,"You trigger the trap, and a large spear shoots out!","%s triggers a trap, and a large spear shoots out!",""
1091,commands,"go alley","go alleyway","enter alley"
1092,other,"You slip into the dark alley.","%s slips into the dark alley.","%s arrives from the street."
1093,other,"You can't do that right now!","",""
1094,other,"You do not have that.","",""
1095,other,"You insert the white fang into one of the slots on the dragon carving.","%s inserts a white fang into one of the slots on the dragon carving.",""
1096,other,"The dragon carving magically shifts and changes!","The dragon carving magically shifts and changes!",""
1097,other,"You insert the black fang into one of the slots on the dragon carving.","%s inserts a black fang into one of the slots on the dragon carving.",""
1098,other,"You insert a green fang into one of the slots on the dragon carving.","%s inserts a green fang into one of the slots on the dragon carving.",""
1099,other,"You insert a blue fang into one of the slots on the dragon carving.","%s inserts a blue fang into one of the slots on the dragon carving.",""
1100,other,"You insert a red fang into one of the slots on the dragon carving.","%s inserts a red fang into one of the slots on the dragon carving.",""
1101,other,"Its toothy maw opens and spits out a key!","Its toothy maw opens and spits out a key!",""
1102,spell,"The unholy wound closes up.","","You are bleeding from an unholy wound!"
1103,other,"The barbs on the blood lance rip %s!","The barbs on the blood lance rip you!","The barbs on the blood lance rip %s!"
1104,other,"An unholy idol animates!","",""
1105,other,"The %s skewers you for %d damage!","The %s skewers %s for %s damage!","The unholy idol shatters, its evil magic destroyed."
1106,spell,"You call upon the chaotic power of the forgotten gods!","%s calls upon the chaotic power of the forgotten gods!","%s calls upon the chaotic power of the forgotten gods!"
1107,other,"The %s drains your life, infusing %s with vitality!","Life drains out of %s and into you!","%s's %s drains life out, infusing %s with vitality!"
1108,spell,"You draw chaotic energy from the ether!","%s draws chaotic energy from the ether!","%s draws chaotic energy from the ether!"
1109,spell,"The chaos shield fizzles out.","","You are surrounded by a chaos shield!"
1110,other,"Wild, uncontrolled energy writhes around %s!","Wild, crackling energy writhes around you!","Wild, crackling energy writhes around %s!"
1111,spell,"You draw power from the mana surrounding you!","%s draws power from the nearby mana!","%s draws power from the nearby mana!"
1112,spell,"The mana flux dissipates rapidly.","","You are affected by a mana flux!"
1113,other,"Uncontrollable energy fills %s!","Uncontrollable energy fills your being!","Uncontrollable energy fills %s!"
1114,other,"Nothing happens.","Nothing happens.",""
1115,other,"As you walk up the stairs, hidden spikes stab up through them!","As %s walks up the stairs, hidden spikes stab up through them!","%s enters, walking gingerly on wounded feet."
1116,other,"You fail to disarm the hidden release, and spikes stab into you!","%s fails to disarm the hidden release, and spikes stab out!",""
1117,other,"You pass through an illusionary wall!","%s walks through the wall to the east!","%s arrives through the wall to the east!"
1118,other,"You pass through an illusionary wall!","%s walks through the wall to the west!","%s arrives through the wall to the east!"
1119,commands,"move painting","turn painting","push painting"
1120,other,"As you move the painting, you hear a loud grinding noise from outside!","%s moves the painting, and you hear a loud grinding noise from outside!",""
1121,commands,"say darkness","say night","say shadow"
1122,other,"You answer the mouth's riddle!","%s answers the mouth's riddle!",""
1123,other,"A huge stone wheel rolls out of the side of the tunnel and crushes you!","%s walks into the strange tunnel.","%s walks in, dazed and bleeding."
1124,other,"You attempt to disarm the trap, and a huge stone block crushes you!","%s fails to disarm a trap, and a huge stone block slams down!",""
1125,commands,"push ruby","move ruby",""
1126,other,"You push the ruby.","%s pushes the ruby.",""
1127,commands,"push onyx","move onyx",""
1128,other,"You push the onyx.","%s pushes the onyx.",""
1129,commands,"push emerald","move emerald",""
1130,other,"You push the emerald.","%s pushes the emerald.",""
1131,commands,"push topaz","move topaz",""
1132,other,"You push the topaz.","%s pushes the topaz.",""
1133,commands,"push sapphire","move sapphire",""
1134,other,"You push the sapphire.","%s pushes the sapphire.",""
1135,commands,"push amethyst","move amethyst",""
1136,other,"You push the amethyst.","%s pushes the amethyst.",""
1137,commands,"push diamond","move diamond",""
1138,other,"You push the diamond.","%s pushes the diamond.",""
1139,other,"Balthazar growls, ""Where are the rest? Get out of my sight, fool.""","Balthazar growls, ""Where are the rest? Get out of my sight, fool.""",""
1140,other,"You drop an elf-head onto the desk.","%s drops an elf-head onto the desk.",""
1141,other,"Balthazar shouts, ""After all those elf-heads you don't have the lord's??""","Balthazar shouts, ""After all those elf-heads you don't have the lord's??""",""
1142,other,"Chancellor Annora looks puzzled, and says ""You do not have the head yet.""","Chancellor Annora looks puzzled, and says ""You do not have the head yet.""",""
1143,other,"You use up the magic of the beholder's eye!","","%s uses up the magic of the beholder's eye!"
1144,other,"The Grey Lord telepaths: <Return when you have the beholder's eye.>","",""
1145,other,"%s is scorched for %d damage!","You are scorched for %d damage!","%s is scorched for %s damage!"
1146,other,"A snake shoots out of the staff and wraps around %s!","A snake shoots out of the staff and wraps around you!","A snake shoots out of the staff and wraps around %s!"
1147,spell,"The serpent shrivels up and falls away.","","You are being constricted by a magical serpent!"
1148,other,"A brilliant flash explodes from the arrow!","A brilliant flash explodes from the arrow!","A brilliant flash explodes from the arrow!"
1149,other,"You can see again.","","You are struck blind!"
1150,other,"Lightning strikes %s for %d damage!","Lightning strikes you for %d damage!","Lightning strikes %s for %s damage!"
1151,other,"A blazing firestorm sears your %sfoe for %d damage!","A blazing firestorm burns through you for %d damage!",""
1152,spell,"You cross your paired dragonblades and cut the air!","%s crosses paired dragonblades and cuts through the air!",""
1153,spell,"The flames scorching you die down.","","You are on fire!"
1154,other,"Elemental energy sears %s for %d damage!","Elemental energy sears you for %d damage!","Elemental energy sears %s for %s damage!"
1155,other,"You raise your elemental staff up high!","%s raises an elemental staff up high!","%s raises an elemental staff up high!"
1156,other,"An earthquake rocks %s for %d damage!","An earthquake rocks you for %d damage!","An earthquake rocks %s for %s damage!"
1157,other,"Lightning fries %s for %d damage!","Lightning fries you for %d damage!","Lightning fries %s for %s damage!"
1158,other,"Fire burns %s for %d damage!","Fire burns you for %d damage!","Fire burns %s for %s damage!"
1159,other,"Ice freezes %s for %d damage!","Ice freezes you for %d damage!","Ice freezes %s for %s damage!"
1160,spell,"You raise your cosmic staff high in the air!","","%s raises the cosmic staff high in the air!"
1161,other,"Shimmering sparks of energy explode forth!","","Shimmering sparks of energy explode forth and cover %s!"
1162,spell,"The cosmic energy fizzles out.","","You are filled with cosmic energy!"
1163,other,"A blazing comet strikes %s for %d damage!","A blazing comet strikes you for %d damage!","A blazing comet strikes %s for %s damage!"
1164,other,"Balthazar growls, ""You don't even have one head. Begone, weakling.""","Balthazar growls, ""You don't even have one head. Begone, weakling.""",""
1165,commands,"go hole","enter hole","climb hole"
1166,other,"You climb down through the hole.","%s climbs down through the hole.","%s climbs down the tree from above."
1167,other,"The %s rips you for %d damage!","The %s rips %s for %s damage!","The lizard hisses at you, and dies."
1168,other,"A %s scuttles in from %s.","The %s scuttles out to %s.","The mutant spider chases after you!"
1169,other,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The mutant spider utters a piercing squeal, and dies."
1170,spell,"You feel your intelligence return.","","You feel moronic!"
1171,other,"You must be at least level 10 to start your quest over.","",""
1172,spell,"You feel your strength return.","","You feel weak and powerless!"
1173,other,"","The %s blasts you with psychic energy!","The %s %s %s with psychic energy!"
1174,other,"A %s ambles in from %s.","The %s ambles out to %s.","The mind flayer runes after you!"
1175,other,"The %s whips you with a tentacle for %d damage!","The %s whips %s with a tentacle for %s damage!","The mind flayer collapses into a puddle of blackish goo."
1176,other,"The %s skewers you for %d damage!","The %s skewers %s for %s damage!","The dark-elf staggers for a moment, then collapses."
1177,other,"You must have your quest ring to start your quest over.","",""
1178,other,"A %s scuttles in from %s.","The %s scuttles out to %s.","The drider charges after you!"
1179,other,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The drider hisses evilly and its spidery legs curl up around its body."
1180,other,"The %s bites you for %d damage!","The %s bites %s for %s damage!",""
1181,other,"Your lose your quest ring and 40,000 exp, and your quest is now reset.","",""
1182,other,"You do not have that item.","",""
1183,other,"A barmaid walks in from %s.","A barmaid walks out to %s.",""
1184,other,"","The %s explodes in a spray of venom!",""
1185,other,"The %s rips you for %d damage!","The %s rips %s for %s damage!","The hordeling screeches violently!"
1186,other,"The %s savagely bites you for %d damage!","The %s savagely bites %s for %s damage!",""
1187,other,"","A %s stalks out to %s!",""
1188,other,"The %s hurls its chakram at you for %d damage!","The %s hurls its chakram at %s for %s damage!","The nexus hunter lunges in desperation, and collapses!"
1189,spell,"You invoke the power of the chakram!","%s invokes the power of the chakram!","%s invokes the power of the chakram!"
1190,other,"You hurl your %s at %s, striking them for %d damage!","%s hurls their %s, striking you for %d damage!","%s hurls their %s at %s, striking them for %s damage!"
1191,commands,"hurl your chakram and strike","hurls their chakram and strikes","hurls their chakram and strikes"
1192,other,"You miss your shot","misses their shot","misses their shot"
1193,other,"A dark storm approaches!","",""
1194,other,"The %s attempts to envelop you!","","The planar storm dissipates in a whirling vortex!"
1195,other,"","The %s discharges an %s at you for %d damage!","The %s discharges an %s at %s for %s damage!"
1196,other,"The %s swoops down and rips you for %d damage!","The %s swoops down and rips %s for %s damage!","The terror beast plummets to the ground, dead."
1197,other,"","The %s's unearthly shriek strikes terror into your heart!",""
1198,other,"A %s thunders in from %s!","The %s thunders out to %s!","The behemoth charges after you with a roar!"
1199,other,"The %s slams into you for %d damage!","The %s slams into %s for %s damage!","The behemoth utters a resounding bellow, falling with a thundering crash!"
1200,other,"The %s charges at you!","The %s %scharges at %s!","The %s %scharges at you, but you dodge out of the way!"
1201,other,"The %s %scharges at %s, who dodges out of the way!","The %s %scharges at you!","The %s %scharges at %s!"
1202,other,"The %s tramples you for %d damage!","The %s tramples %s for %s damage!",""
1203,other,"The %s bites you for %d damage!","The %s bites %s for %s damage!",""
1204,commands,"go vortex","enter vortex","go swirling vortex"
1205,other,"You step into the swirling vortex, and find yourself... elsewhere.","%s steps into the swirling vortex, and vanishes in a flash!","%s steps out of the swirling vortex, looking somewhat disoriented."
1206,other,"Energy sears %s for %d damage!","Energy sears you for %d damage!","Energy sears %s for %s damage!"
1207,other,"The %s hurls his nexus spear at you for %d damage!","The %s hurls his nexus spear at %s for %s damage!","The Lord of the Hunt laughs contemptuously, and vanishes in a flash!"
1208,verbs,"hurl your nexus spear at|impale your nexus spear into|skewer","hurls the nexus spear at|impales the nexus spear into|skewers","hurls their nexus spear at|impales their nexus spear into|skewers"
1209,other,"The %s skewers you and slams you down for %d damage!","The %s skewers %s, who is slammed into the ground for %s damage!",""
1210,other,"The %s impales you for %d damage!","The %s impales %s for %s damage!",""
1211,spell,"","The %s fires a tendril of energy at you!","The %s fires a tendril of energy at %s!"
1212,other,"","You are drained of %d life!","%s is drained of %s life!"
1213,spell,"","The %s twirls his nexus spear above his head!",""
1214,other,"","An energy vortex spins through the room for %d damage!",""
1215,spell,"You are weak from teleportation sickness!","%s stumbles weakly!","You are weak from teleportation sickness!"
1216,spell,"You raise your hands and chant a forgotten ritual!","","%s begins to chant a strange, haunting ritual!"
1217,other,"With a flash and a thunderclap, you vanish into the ether!","With a flash and a thunderclap, %s vanishes into the ether!",""
1218,spell,"The teleportation sickness wears off.","","You are afflicted by teleportation sickness!"
1219,other,"With a flash and a thunderclap, your enemies are flung into the ether!","With a flash and a thunderclap, you are thrown into the ether!","With a flash and a thunderclap, %'s enemies are flung into the ether!"
1220,other,"The swirling chaotic energy of the vortex forces you back!","%s attempts to enter the vortex, but is forced back!",""
1221,other,"A sprawling black wasteland lies before you.","%s steps out of the swirling vortex, looking somewhat disoriented.",""
1222,commands,"step tile","stand tile","push tile"
1223,other,"You put all your weight on the tile, and it sinks into the floor.","%s stands on the stone tile, and it sinks into the floor.",""
1224,commands,"rub bloodstone orb","hold bloodstone orb","rub orb"
1225,other,"The bloodstone orb glows warmly, and disintegrates!","%s rubs a bloodstone orb!",""
1226,other,"You push the stone button, and hear a grinding click.","%s pushes the stone button, and you hear a grinding click.",""
1227,other,"The shelving slides out of the way, revealing a black passage!","The shelving slides out of the way, revealing a black passage!","The shelving slides out of the way, revealing a black passage!"
1228,commands,"go moat","dive moat","jump moat"
1229,other,"You jump into the disgusting, filthy moat waters.","%s jumps into the filthy black waters of the moat.","%s comes flying down from above, and lands in the moat with a splash!"
1230,other,"You land with a heavy thump!","You land with a heavy thump!","%s falls from the rooftop above, and lands with a heavy thump!"
1231,other,"You step back, start running to the north, and make a mighty leap!","%s steps back, starts running to the north, and makes a mighty leap!",""
1232,other,"You step back, start running to the south, and make a mighty leap!","%s steps back, starts running to the south, and makes a mighty leap!",""
1233,other,"You step back, start running to the west, and make a mighty leap!","%s steps back, starts running to the west, and makes a mighty leap!",""
1234,other,"You step back, start running to the east, and make a mighty leap!","%s steps back, starts running to the east, and makes a mighty leap!",""
1235,other,"You sail through the air, and land on the opposite building's rooftop!","%s makes a mighty leap from an adjacent rooftop, and lands near you!",""
1236,other,"Unfortunately, you do not make it, and plummet to the street below!","%s plummets to the ground, screaming all the way!",""
1237,other,"You move the small switch with difficulty.","%s fiddles around inside the desk.",""
1238,other,"You land on the opposing rooftop, which collapses beneath you!","You land on the opposing rooftop, which collapses beneath you!","%s crashes through the roof and lands with a heavy thump!"
1239,other,"You pull down on the heavy iron lever.","%s pulls down on the heavy iron lever.",""
1240,commands,"hold up talisman","hold up amber talisman","lift up talisman"
1241,other,"You hold the amber talisman aloft, and it begins to sparkle!","%s holds up an amber talisman, and it begins to sparkle!",""
1242,other,"Your amber talisman dissolves in a puff of greasy yellow smoke.","%s's amber talisman dissolves in a puff of greasy yellow smoke.",""
1243,commands,"turn tap","move tap","twist tap"
1244,other,"You turn the silver tap, and hear something click!","%s turns the silver tap on the keg!",""
1245,other,"You pull on the bone, and hear a small click.","%s pulls on the bone.",""
1246,other,"The massive boulder rolls out of the way, revealing an exit to the %s!","bleh","bleh"
1247,other,"gaping hole %s","gaping hole %s","gaping hole %s"
1248,other,"The ceiling cracks open, revealing a hidden passage!","The ceiling cracks open, revealing a hidden passage!","The ceiling cracks open, revealing a hidden passage!"
1249,other,"dark crack %s","dark crack %s","dark crack %s"
1250,commands,"rub bracelet","rub greasy leather bracelet","rub leather bracelet"
1251,other,"You rub the greasy bracelet, and the rune begins to glow!","As %s rubs a leather bracelet, a rune inscribed on it begins to glow!",""
1252,other,"The bookshelf against the wall slides to the side!","The bookshelf against the wall slides to the side!","The bookshelf against the wall slides to the side!"
1253,other,"small passage %s","small passage %s","small passage %s"
1254,other,"huge passage %s","huge passage %s","huge passage %s"
1255,other,"A cleverly concealed passage opens!","A cleverly concealed passage opens!","A cleverly concealed passage opens!"
1256,other,"rocky passage %s","rocky passage %s","rocky passage %s"
1257,other,"A small hidden passage silently slides open.","A small hidden passage silently slides open.","A small hidden passage silently slides open."
1258,other,"small passage %s","small passage %s","small passage %s"
1259,other,"A groaning crack in the darkwood tree yawns open!","A groaning crack in the darkwood tree yawns open!","A groaning crack in the darkwood tree yawns open!"
1260,other,"crack in tree %s","crack in tree %s","crack in tree %s"
1261,other,"A hidden square doorway swings open on silent hinges.","A hidden square doorway swings open on silent hinges.","A hidden square doorway swings open on silent hinges."
1262,other,"square doorway %s","square doorway %s","square doorway %s"
1263,other,"A hidden panel in the fireplace slides open.","A hidden panel in the fireplace slides open.","A hidden panel in the fireplace slides open."
1264,other,"open fireplace %s","open fireplace %s","open fireplace %s"
1265,other,"With a rumbling sound, a stony passage opens to the east.","With a rumbling sound, a stony passage opens to the east.","With a rumbling sound, a stony passage opens to the east."
1266,other,"obsidian passage %s","obsidian passage %s","obsidian passage %s"
1267,other,"A wooden panel in the wall slides open.","A wooden panel in the wall slides open.","A wooden panel in the wall slides open."
1268,other,"secret passage %s","secret passage %s","secret passage %s"
1269,other,"A small stone door pops open!","A small stone door pops open!","A small stone door pops open!"
1270,other,"A section of the wall swings open on hidden hinges!","A section of the wall swings open on hidden hinges!","A section of the wall swings open on hidden hinges!"
1271,other,"A large stone door opens to the east!","A large stone door opens to the east!","A large stone door opens to the east!"
1272,other,"wide stone passage %s","wide stone passage %s","wide stone passage %s"
1273,other,"A massive stone door creaks open to the south.","A massive stone door creaks open to the south.","A massive stone door creaks open to the south."
1274,other,"dark passageway %s","dark passageway %s","dark passageway %s"
1275,other,"A small stone door opens in the wall.","A small stone door opens in the wall.","A small stone door opens in the wall."
1276,other,"The knight statue slides aside, revealing a small passage.","The knight statue slides aside, revealing a small passage.","The knight statue slides aside, revealing a small passage."
1277,other,"cramped passage %s","cramped passage %s","cramped passage %s"
1278,other,"A circular door slides open in the floor.","A circular door slides open in the floor.","A circular door slides open in the floor."
1279,other,"circular hole %s","circular hole %s","circular hole %s"
1280,commands,"turn torch","twist torch","spin torch"
1281,other,"The torch and its bracket turn with a rusty creak.","%s turns one of the torches affixed to the wall.",""
1282,commands,"thrust at","thrusts at","thrusts at"
1283,other,"open metal door %s","open metal door %s","open metal door %s"
1284,other,"A concealed passage opens up with a groan!","A concealed passage opens up with a groan!","A concealed passage opens up with a groan!"
1285,other,"concealed passage %s","concealed passage %s","concealed passage %s"
1286,other,"The elaborate gate swings open with a screech!","The elaborate gate swings open with a screech!","The elaborate gate swings open with a screech!"
1287,other,"open gate %s","open gate %s","open gate %s"
1288,other,"A gaping crack opens up in the rocks!","A gaping crack opens up in the rocks!","A gaping crack opens up in the rocks!"
1289,other,"gaping crack %s","gaping crack %s","gaping crack %s"
1290,other,"A %s walks in from %s.","The %s walks out to %s!","The %s charges after you with a battle cry!"
1291,other,"The %s impales you for %d damage!","The %s impales %s for %s damage!","The gnome sentry grunts in pain, and keels over."
1292,spell,"You utter a guttural incantation.","%s utters a guttural incantation.","%s utters a guttural incantation."
1293,other,"A %s strides in from %s.","The %s strides out to %s.","The gnome shaman runs after you!"
1294,other,"The %s smacks you for %d damage!","The %s smacks %s for %s damage!","The gnome shaman tries one last spell, but dies!"
1295,other,"The gnome commander strides into the room.","The gnome commander walks out to the %s.","The gnome commander races after you!"
1296,other,"The %s stabs you for %d damage!","The %s stabs %s for %s damage!","The gnome commander spits up blood, and collapses."
1297,other,"A %s strides in from %s.","The %s strides out to %s.","The dark-elf runs after you with a battle-cry!"
1298,other,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The dark-elf takes one last swing at you, and dies with a growl."
1299,other,"The %s stabs you for %d damage!","The %s stabs %s for %s damage!","The dark-elf shouts for aid, and dies!"
1300,other,"A %s walks in from %s.","The %s walks out to %s.","The dark-elf charges after you!"
1301,other,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The dark-elf warlock snarls in pain, and collapses!"
1302,other,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The royal guard hurls his sword at you in desperation, and dies!"
1303,other,"The %s viciously chops you for %d damage!","The %s viciously chops %s for %s damage!",""
1304,spell,"You speed up.","","You are caught in a time distortion field!"
1305,other,"The %s critically slashes you for %d damage!","The %s critically slashes %s for %s damage!",""
1306,other,"The %s smashes you for %d damage!","The %s smashes %s for %s damage!","The priestess calls upon her goddess, but is forsaken!"
1307,other,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The weaponsmaster shrieks in righteous indignation, and collapses!"
1308,other,"The %s all-out slashes you for %d damage!","The %s all-out slashes %s for %s damage!",""
1309,other,"The %s critically slashes you for %d damage!","The %s critically slashes %s for %s damage!",""
1310,other,"","A shimmering force sweeps throughout the area!",""
1311,spell,"","The %s makes a clutching gesture!","The %s makes a clutching gesture!"
1312,spell,"The unnatural darkness lifts.","They are blind!","You are enveloped in darkness!"
1313,other,"","A bubble of pure darkness appears and begins to expand!",""
1314,spell,"","The %s makes a sharp gesture!","The %s makes a sharp gesture!"
1315,other,"","A bolt of darkness strikes you for %d damage!","A bolt of darkness strikes %s for %s damage!"
1316,other,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The dark-elf queen shrieks in fury, and vanishes in a shimmering light!"
1317,other,"The %s critically slashes you for %d damage!","The %s critically slashes %s for %s damage!",""
1318,other,"The %s lashes you for %d damage!","The %s lashes %s for %s damage!","The master torturer laughs like a lunatic, and spits up blood!"
1320,other,"The %s critically lashes you for %d damage!","The %s critically lashes %s for %s damage!",""
1321,other,"The %s smacks you for %d damage!","The %s smacks %s for %s damage!","The dark-elf archmage shrieks in fury!"
1322,spell,"The unnatural darkness dissipates.","","An unnatural darkness surrounds you!"
1323,other,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The captain of the guard eyes you evilly, and collapses."
1324,other,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The obisidan statue shatters into a thousand pieces."
1325,other,"A %s swims in from %s!","The %s swims out to %s!",""
1326,other,"The %s rips you for %d damage!","The %s rips %s for %s damage!","The slime serpent curls up and floats to the bottom."
1327,other,"The %s pummels you for %d damage!","The %s pummels %s for %s damage!","The guardian beast shrieks in rage, and collapses with a thud!"
1328,other,"A %s walks in from %s.","The %s walks out to %s.","The slaver runs after you!"
1329,other,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The slaver falls to the ground with a groan. Good riddance."
1330,other,"The %s lashes you for %d damage!","The %s lashes %s for %s damage!",""
1331,other,"The slaver leader whimpers and drops his weapon, calling for mercy!","",""
1332,other,"","","The slaver leader dies easily, blood spurting from his wounds."
1333,other,"A %s runs in from %s!","The %s runs out to %s!","The guard dog charges after you!"
1334,other,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The guard dog snarls nastily, and dies."
1335,other,"","","The prisoner dies with a contented sigh."
